date,longitude,latitude,pop_size,urban,cropland,irrigated
-10000,21.02,-19.05,0,0,0,0
-10000,-95.36,42.88,1.92,0,0,0
-10000,-96.14,40.92,1.62,0,0,0
-10000,-96.17,41.29,1.81,0,0,0
-10000,-96.55,42.15,1.41,0,0,0
-10000,-108.03,36.04,1.8,0,0,0
-10000,-100.52,46.98,0.07,0,0,0
-10000,-101.73,47.28,0.07,0,0,0
-10000,-101.49,47.5,0.08,0,0,0
-10000,-101.43,46.68,0.03,0,0,0
-10000,-97.66,46.46,0.11,0,0,0
-10000,-101.25,46.19,0.06,0,0,0
-10000,-99.25,44.06,0.45,0,0,0
-10000,-101.15,45.71,0.21,0,0,0
-10000,-100.09,44.32,0.4,0,0,0
-10000,-100.53,44.48,0.33,0,0,0
-10000,-107.31,35.49,0.97,0,0,0
-10000,-90.07,38.6,1.02,0,0,0
-10000,-83.2,33.44,5.06,0,0,0
-10000,-0.38,52.15,0.65,0,0,0
-10000,127.07,36.32,9.38,0,0,0
-10000,45.05,32.25,17.08,0,0,0
-10000,34.55,30.51,2.93,0,0,0
-10000,26.28,47.77,2.91,0,0,0
-10000,7.67,47.17,1.35,0,0,0
-10000,-68.36,-18.2,12.4,0,0,0
-10000,-90.21,16.39,4.05,0,0,0
-10000,9.67,48.04,0.92,0,0,0
-10000,141.78,-3.6,0.45,0,0,0
-10000,138.19,35.96,0.83,0,0,0
-10000,60,37,4.39,0,0,0
-10000,-107.6,36.95,1.26,0,0,0
-10000,-1.87,52.21,0.8,0,0,0
-10000,-1.17,51.88,0.82,0,0,0
-10000,-0.09,53.81,0.59,0,0,0
-10000,-90.14,38.74,1.01,0,0,0
-10000,-79.31,43.82,2.26,0,0,0
-10000,-90.52,16.48,7.65,0,0,0
-10000,-88.35,17.76,1.21,0,0,0
-10000,60.43,36.86,7.71,0,0,0
-10000,-69.53,-18.47,1.54,0,0,0
-10000,-68.45,-18.29,12.27,0,0,0
-10000,-79.66,43.62,2.39,0,0,0
-10000,30.43,48.73,9.23,0,0,0
-10000,35.12,31.28,16.99,0,0,0
-10000,9.43,47.5,11.32,0,0,0
-10000,140.17,35.56,2.06,0,0,0
-10000,-70.63,-17.04,9.48,0,0,0
-10000,-66.53,-21.52,11.35,0,0,0
-10000,43.26,35.46,8,0,0,0
-10000,23.72,37.98,0.43,0,0,0
-10000,-98.9,19.69,203.27,0,0,0
-10000,-88.45,18.34,1.02,0,0,0
-10000,24.79,35.06,0.35,0,0,0
-10000,-0.81,51.82,0.92,0,0,0
-10000,27.23,41.72,4.83,0,0,0
-10000,34.23,38.35,3.89,0,0,0
-10000,127.07125,37.2,22.51,0,0,0
-10000,-90.03,38.69,0.98,0,0,0
-10000,-108.27,44.97,0.29,0,0,0
-10000,-108.09,44.93,0.31,0,0,0
-10000,-107.66,44.41,0.28,0,0,0
-10000,127.46,36.65,7.99,0,0,0
-10000,126.77,36.13,8.21,0,0,0
-10000,127.1,36.8,8.7,0,0,0
-10000,126.89,36.33,9.54,0,0,0
-10000,127,35.97,6.81,0,0,0
-10000,127,35.96,6.92,0,0,0
-10000,140.99,37.27,0.92,0,0,0
-10000,44.43,32.54,26.34,0,0,0
-10000,-112.1,38.76,0.47,0,0,0
-10000,9.61,48.06,0.94,0,0,0
-10000,26.22,47.42,0.68,0,0,0
-10000,-79.57,44.65,1.54,0,0,0
-10000,-107.45,36.92,1.1,0,0,0
-10000,20.47,44.76,3.71,0,0,0
-10000,-1.88,51.75,0.91,0,0,0
-10000,-2.11,50.91,0.71,0,0,0
-10000,-1.03,54.25,0.5,0,0,0
-10000,-112.64,38.28,0.51,0,0,0
-10000,34.57,30.77,6.32,0,0,0
-10000,34.84,31.24,20.09,0,0,0
-10000,35.45,30.37,2.06,0,0,0
-10000,120.62,37.97,10.34,0,0,0
-10000,-2.49,55.19,0.3,0,0,0
-10000,21.41,44.31,3.42,0,0,0
-10000,-78.93,44.62,1.63,0,0,0
-10000,-2.09,50.69,0.65,0,0,0
-10000,6.83,46.92,0.98,0,0,0
-10000,-1.15,51.9,0.81,0,0,0
-10000,-0.52,52.13,0.68,0,0,0
-10000,-79.66,44.68,1.44,0,0,0
-10000,-107.22,35.49,1.01,0,0,0
-10000,29.4,48.27,10.76,0,0,0
-10000,0.09,50.79,0.65,0,0,0
-10000,17.74,52.79,0.05,0,0,0
-10000,-0.68,53.78,0.65,0,0,0
